timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658378209.51668,583,496,498,500,502,490
1658378209.61691,583,496,493,500,505,481
1658378209.71695,581,496,480,500,527,439
1658378209.81704,579,494,469,500,544,416
1658378209.91703,560,490,452,499,561,384
1658378210.017,533,484,438,500,576,351
1658378210.11723,502,480,423,501,593,318
1658378210.21699,474,477,412,501,598,309
1658378210.31697,446,473,396,505,598,309
1658378210.41728,415,467,381,506,598,309
1658378210.51703,385,465,366,507,598,309
1658378210.61704,366,460,351,508,598,309
1658378210.71692,361,455,335,515,598,309
1658378210.81706,-151,452,321,513,598,309
1658378210.91696,361,447,309,513,598,309
1658378211.01703,361,442,300,517,598,309
1658378211.11697,361,438,299,518,598,309
1658378211.21697,361,437,300,518,598,309
1658378211.31695,361,437,299,518,598,309
1658378211.41688,361,437,299,513,598,309
1658378211.51697,361,437,299,518,598,309
1658378211.61692,361,435,303,518,592,309
1658378211.71705,361,425,316,525,567,312
1658378211.81693,361,415,331,534,539,319
1658378211.91697,371,405,350,543,506,325
1658378212.01697,384,396,367,552,493,329
1658378212.11708,399,385,385,554,496,329
1658378212.21719,415,375,404,561,495,329
1658378212.31748,426,366,421,568,495,329
1658378212.417,440,355,434,573,495,329
1658378212.51723,454,345,436,580,495,331
1658378212.6171,465,337,436,587,495,329
1658378212.71705,465,337,436,593,495,330
1658378212.817,466,337,436,599,495,330
1658378212.91702,465,337,436,605,494,330
1658378213.01706,465,337,436,608,495,327
1658378213.11704,465,338,436,608,495,330
1658378213.217,465,337,436,608,495,330
1658378213.31702,466,337,436,608,495,330
1658378213.41696,465,337,436,608,495,330
1658378213.51704,465,337,436,608,494,330
1658378213.6169,465,337,436,609,495,330
1658378213.71699,477,340,436,623,492,329
1658378213.81699,491,343,434,628,490,325
1658378213.91699,504,348,429,636,486,318
1658378214.01693,514,352,425,644,482,313
1658378214.11741,521,360,421,654,480,309
1658378214.21703,520,361,417,663,474,299
1658378214.31703,520,371,412,670,473,295
1658378214.41699,520,379,408,680,469,289
1658378214.51691,520,381,404,688,466,284
1658378214.61702,520,390,401,696,462,276
1658378214.71702,520,394,401,704,458,271
1658378214.81702,520,401,401,714,455,265
1658378214.9171,520,405,401,723,453,259
1658378215.017,519,412,401,728,448,254
1658378215.1171,520,415,401,728,447,255
1658378215.21729,520,422,401,729,450,255
1658378215.31705,519,422,401,729,447,254
1658378215.41702,520,425,401,728,447,254
1658378215.51718,520,422,401,729,447,254
1658378215.6174,520,422,402,729,447,256
1658378215.71714,520,422,417,716,447,265
1658378215.81698,520,422,442,696,447,276
1658378215.91708,520,421,471,669,447,292
1658378216.01704,520,418,500,650,449,309
1658378216.1171,520,415,524,647,444,320
1658378216.21729,520,412,552,647,444,335
1658378216.31701,520,409,580,647,444,351
1658378216.41709,520,406,606,646,444,363
1658378216.51705,520,403,634,646,445,377
1658378216.61705,520,398,656,645,445,390
1658378216.7171,520,397,661,645,442,405
1658378216.81707,520,394,662,645,441,418
1658378216.91703,520,391,656,645,441,435
1658378217.01701,520,387,660,645,441,444
1658378217.117,520,384,659,645,441,444
1658378217.21706,519,383,661,645,441,444
1658378217.31701,520,382,661,645,441,446
1658378217.41697,520,382,660,644,439,444
1658378217.51698,520,383,660,645,441,445
1658378217.61693,520,383,661,645,441,445
1658378217.71713,519,401,651,645,441,444
1658378217.81698,505,430,634,645,441,440
1658378217.91703,478,462,611,645,441,435
1658378218.01703,456,494,591,645,441,429
1658378218.11705,431,525,570,645,441,424
1658378218.21701,409,558,551,645,439,419
1658378218.31699,385,590,530,644,441,415
1658378218.41708,361,621,508,645,437,408
1658378218.51703,346,653,488,645,437,408
