timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658378256.68756,581,497,498,498,496,498
1658378256.78744,581,497,497,497,496,520
1658378256.88752,581,496,499,494,486,578
1658378256.9876,581,490,499,487,464,653
1658378257.08763,579,480,499,479,444,725
1658378257.18764,574,473,499,471,427,790
1658378257.28751,559,465,497,470,416,793
1658378257.38766,538,458,497,470,393,791
1658378257.48766,517,450,496,470,376,792
1658378257.58772,498,444,497,470,358,792
1658378257.68758,477,443,497,470,342,792
1658378257.7876,456,443,496,470,330,793
1658378257.88759,432,442,496,470,329,792
1658378257.98765,413,442,496,471,328,793
1658378258.08766,387,442,496,470,328,792
1658378258.18806,368,443,496,470,328,793
1658378258.2877,345,442,496,470,328,792
1658378258.38767,326,442,496,470,332,792
1658378258.4878,319,443,496,470,328,792
1658378258.58763,319,443,496,470,328,792
1658378258.68762,319,442,496,470,328,793
1658378258.78753,319,443,495,470,330,787
1658378258.88754,319,443,488,471,346,757
1658378258.98758,319,448,479,477,386,709
1658378259.08779,319,458,470,482,425,665
1658378259.18758,319,466,461,488,453,634
1658378259.2876,319,476,451,491,465,588
1658378259.38759,319,484,441,500,460,558
1658378259.48752,319,491,429,509,462,553
1658378259.58767,319,500,421,513,463,553
1658378259.68759,319,509,412,524,463,553
1658378259.78761,319,517,400,528,462,552
1658378259.88754,-12225,525,393,534,462,553
1658378259.98751,319,534,383,543,459,552
1658378260.08752,319,542,379,543,462,553
1658378260.18754,319,552,379,543,461,552
1658378260.2876,319,560,379,543,461,552
1658378260.38747,319,566,379,543,461,552
1658378260.48756,319,568,379,543,460,553
1658378260.58755,319,568,379,543,461,552
1658378260.68754,319,568,379,544,461,553
1658378260.78802,319,568,379,543,461,553
1658378260.88746,-18,540,390,507,464,540
1658378261.02342,395,522,396,491,468,535
1658378261.08752,429,506,403,475,471,533
1658378261.18761,489,481,416,443,479,526
1658378261.28763,533,465,430,413,485,517
1658378261.38763,541,465,445,384,495,509
1658378261.48745,541,465,459,351,496,502
1658378261.58767,541,465,470,321,496,493
1658378261.68755,541,465,477,319,496,486
1658378261.78749,541,465,477,319,497,479
1658378261.88754,541,465,477,319,496,471
1658378261.98754,541,465,477,319,497,461
1658378262.08759,541,465,477,319,496,455
1658378262.18761,541,465,477,319,496,448
1658378262.28765,541,465,477,319,496,447
1658378262.38751,541,465,477,319,497,447
1658378262.48757,541,465,477,319,496,447
1658378262.58752,541,465,477,319,496,447
1658378262.68766,541,464,477,319,497,447
1658378262.78752,541,465,477,319,496,447
1658378262.88752,541,484,471,319,496,447
1658378262.98754,541,517,461,321,496,446
1658378263.08758,534,554,447,330,490,447
1658378263.18763,525,596,428,341,483,447
1658378263.28767,512,618,412,352,474,447
1658378263.38797,498,618,396,364,468,446
1658378263.48758,487,618,386,375,460,447
1658378263.58761,477,618,386,384,453,447
1658378263.6877,471,618,385,395,446,446
1658378263.78758,456,618,385,405,440,447
1658378263.88765,446,618,385,415,433,447
1658378263.98756,434,618,385,425,429,447
1658378264.08765,423,618,385,428,428,447
1658378264.18762,415,618,385,427,428,447
1658378264.2876,402,618,385,428,428,447
1658378264.38799,390,618,385,428,428,447
1658378264.48757,387,618,385,428,428,447
1658378264.58758,387,618,385,428,428,447
1658378264.68796,387,618,385,428,428,447
1658378264.78759,387,618,385,428,428,447
1658378264.88752,387,609,384,427,426,447
1658378264.98763,387,571,378,428,410,447
1658378265.08758,387,534,373,427,403,447
1658378265.18755,387,497,368,428,396,446
1658378265.28749,387,455,363,428,386,448
1658378265.38763,387,416,356,428,376,450
1658378265.48764,387,387,351,428,366,452
1658378265.58752,387,383,347,428,356,453
1658378265.68758,387,383,340,428,347,455
1658378265.78755,387,383,336,427,340,458
