timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658383318.17064,406,359,482,328,400,498
1658383318.27051,404,344,479,328,387,497
1658383318.37061,404,334,477,328,379,498
1658383318.47053,404,332,477,328,370,498
1658383318.57076,404,332,477,329,357,498
1658383318.67049,404,333,477,329,350,498
1658383318.77057,404,333,475,330,343,499
1658383318.8705,404,333,474,331,344,498
1658383318.97058,404,333,474,331,343,498
1658383319.07051,404,333,474,331,343,498
1658383319.17077,404,334,474,331,343,498
1658383319.27049,403,337,466,333,343,498
1658383319.37057,397,346,458,334,343,498
1658383319.47055,392,355,447,334,346,498
1658383319.57085,387,363,437,335,350,498
1658383319.67057,383,371,428,335,353,498
1658383319.77065,376,381,419,338,356,498
1658383319.87059,371,391,409,339,362,498
1658383319.97055,366,397,400,339,364,498
1658383320.07052,358,407,391,341,366,498
1658383320.1707,353,415,382,347,371,498
1658383320.27052,345,425,373,343,375,498
1658383320.3706,343,434,363,343,376,498
1658383320.47059,339,443,352,345,376,498
1658383320.57062,339,450,344,345,380,498
1658383320.67053,339,450,344,342,381,498
1658383320.77062,339,452,344,345,380,499
1658383320.87051,338,451,344,345,380,498
1658383320.97058,338,452,344,345,381,498
1658383321.07064,339,452,344,345,381,498
1658383321.17055,338,451,344,346,380,498
1658383321.27052,338,450,351,352,376,498
1658383321.37046,339,450,366,363,363,498
1658383321.47052,345,447,381,377,353,498
1658383321.57052,361,440,396,382,343,498
1658383321.67045,374,436,417,392,341,498
1658383321.77049,385,433,427,400,341,499
1658383321.87047,396,427,445,409,341,499
1658383321.98676,401,422,460,421,340,498
1658383322.07051,401,418,465,426,340,498
1658383322.17051,401,414,461,438,340,498
1658383322.27079,401,414,461,444,340,498
1658383322.37058,401,414,461,453,339,498
1658383322.47049,401,414,461,460,340,498
1658383322.57047,401,414,461,469,343,498
1658383322.67053,401,414,461,470,340,498
1658383322.77066,401,414,461,470,340,498
1658383322.87069,401,414,461,470,340,498
1658383322.97066,401,414,461,470,340,498
1658383323.07063,401,414,461,470,339,498
1658383323.17085,401,414,461,470,340,498
1658383323.2707,401,406,461,473,346,498
1658383323.37098,401,401,461,475,355,498
1658383323.47056,401,394,461,478,371,498
1658383323.57099,397,387,463,481,381,498
1658383323.67054,387,379,8654,487,386,498
1658383323.77073,382,372,466,490,386,498
1658383323.87049,375,363,468,495,386,498
1658383323.97056,370,357,468,496,387,498
1658383324.07057,361,349,468,496,387,498
1658383324.17054,354,341,469,496,388,498
1658383324.27057,345,335,469,496,387,498
1658383324.37057,343,328,469,496,387,498
1658383324.47056,335,319,469,496,388,498
1658383324.57069,333,312,469,496,388,498
1658383324.67053,326,306,469,496,388,498
1658383324.7705,318,298,468,496,389,498
1658383324.87057,316,297,469,496,389,498
1658383324.9706,316,296,469,496,389,498
1658383325.07058,316,296,469,496,389,498
1658383325.17055,316,296,469,496,389,498
1658383325.2705,316,296,477,496,404,497
1658383325.37049,1405,297,491,491,439,498
1658383325.47047,316,298,506,481,473,499
1658383325.5705,321,300,524,470,509,498
1658383325.67065,334,303,542,453,551,498
1658383325.77056,345,306,561,449,577,498
1658383325.87067,361,307,572,438,612,498
1658383325.97069,371,315,593,426,653,498
1658383326.07047,379,318,596,420,672,498
