timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658383448.89689,392,300,302,499,455,362
1658383450.90904,488,610,326,299,333,250
1658383452.92323,595,356,464,373,475,333
1658383454.93835,426,399,393,473,454,320
1658383456.97747,326,464,351,376,481,373
