timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658378064.15461,581,496,499,497,495,498
1658378064.29855,581,496,503,495,491,498
1658378064.35525,581,496,506,487,488,498
1658378064.45506,581,496,516,471,482,498
1658378064.55519,581,496,526,458,473,498
1658378064.65511,581,496,537,446,464,498
1658378064.75493,579,496,545,432,456,498
1658378064.85514,579,496,552,422,450,498
1658378064.95503,576,496,564,409,441,498
1658378065.05499,567,496,570,395,433,498
1658378065.15494,559,496,580,384,424,498
1658378065.25502,548,496,589,371,420,498
1658378065.35495,537,496,598,359,411,498
1658378065.45501,526,496,607,345,402,498
1658378065.55507,515,493,615,334,396,498
1658378065.65498,504,492,624,329,392,498
1658378065.75505,493,492,634,329,392,499
1658378065.85494,486,492,637,329,392,498
1658378065.95498,486,491,637,329,392,498
1658378066.05496,486,491,637,329,392,498
1658378066.15501,486,491,637,329,392,498
1658378066.25499,483,484,632,333,393,492
1658378066.35496,-32270,464,-4175,-16452,392,477
1658378066.455,474,439,579,368,386,454
1658378066.55511,463,414,546,394,381,434
1658378066.65497,448,387,520,421,379,414
1658378066.75507,436,361,516,444,375,395
1658378066.85502,426,342,515,458,368,372
1658378066.95513,415,340,515,458,366,351
1658378067.05508,400,340,515,458,364,329
1658378067.15507,389,340,515,458,359,310
1658378067.255,384,340,515,458,358,289
1658378067.35498,374,340,515,458,355,269
1658378067.45498,365,340,515,458,352,248
1658378067.555,361,340,514,458,352,230
1658378067.65506,361,340,514,458,352,220
1658378067.75493,361,341,515,458,352,220
1658378067.85496,361,340,515,458,352,220
1658378067.95504,361,340,515,458,353,220
1658378068.05507,361,340,515,458,351,220
1658378068.15493,361,340,515,458,352,220
1658378068.25494,361,343,514,453,380,221
1658378068.3549,361,358,514,432,417,230
1658378068.45495,361,382,513,405,468,239
1658378068.55495,361,413,517,359,549,254
1658378068.65494,361,440,520,326,621,265
1658378068.75509,361,31186,520,327,672,280
1658378068.85501,361,490,523,324,709,292
1658378068.95496,361,514,523,326,709,308
1658378069.05505,361,536,523,328,710,319
1658378069.15498,361,539,524,326,710,331
1658378069.25504,361,539,525,325,710,346
1658378069.35502,361,539,527,326,710,360
1658378069.45504,361,539,528,326,710,369
1658378069.55495,361,539,528,325,710,385
1658378069.65498,361,539,529,325,710,396
1658378069.75496,361,539,529,326,710,412
1658378069.85501,361,539,530,324,710,421
1658378069.95498,361,539,530,326,710,421
1658378070.05487,361,539,530,325,710,421
1658378070.15512,361,539,530,326,710,421
1658378070.25533,361,539,-28141,329,709,421
1658378070.35515,361,537,580,450,627,391
1658378070.63052,361,535,586,458,622,390
1658378070.64906,361,534,589,467,614,386
1658378070.67266,361,534,595,475,604,385
1658378070.755,361,527,607,482,581,375
1658378070.85499,362,524,624,483,555,364
1658378070.95494,362,521,640,484,533,356
1658378071.05498,366,517,656,484,507,346
1658378071.15517,370,513,672,485,480,335
1658378071.25495,372,507,688,486,453,329
1658378071.35497,375,505,704,487,424,329
1658378071.45501,376,500,718,490,403,329
1658378071.55499,382,496,720,490,402,329
1658378071.65516,385,492,722,490,402,329
1658378071.75504,387,492,722,490,402,329
1658378071.85509,394,491,722,490,402,329
1658378071.95505,394,491,722,490,403,329
1658378072.05506,394,491,722,490,402,329
1658378072.15498,394,490,722,490,402,329
1658378072.25502,394,491,722,491,402,329
1658378072.35501,398,489,720,487,401,335
1658378072.45499,401,484,710,479,401,345
1658378072.55504,409,480,698,466,393,356
1658378072.65502,412,474,687,458,393,368
1658378072.75503,415,470,677,448,386,379
1658378072.85497,421,467,666,438,386,389
1658378072.95503,427,462,656,426,386,405
1658378073.05496,432,458,643,417,386,417
1658378073.15502,441,452,631,406,386,428
